titulo;descripcion;comensales;tiempo_minutos;categoria;dificultad;ingredientes;pasos
Receta de Ensalada de berenjenas griega;La ensalada de berenjena griega, también denominada melitzanosalata, es una preparación sencilla y rápida. Además, es ideal como entrante o para acompañar cualquier comida. También debes saber que esta ensalada tiene muchas variantes, ya que en ocasiones, se mezcla con otros ingredientes, pero esta elaboracióon que te proporcionamos es la base de la ensalada tradicional. El resultado concluye como una crema llena de sabor que se puede untar con un pan de pita o con tostadas.;4;45;;baja;['2 vainas de berenjenas', '2 dientes de ajos', '2 cucharadas soperas de zumo de limón', '1 pizca de sal', '1 copa de aceite de oliva', '1 puñado de perejil picado', '1 pizca de pimienta'];['Para empezar con la receta de la ensalada de berenjenas griega, primero asa las berenjenas. Para ello, lava, córtalas por la mitad y realiza cortes en la carne de la berenjena. A continuación, añádelas en una fuente de horno con un chorro de aceite de oliva e introdúcelas en el horno a 200 ºC hasta que estén listas, aproximadamente unos 30-40 minutos.', 'Cuando estén hechas las berenjenas, déjalas enfriar para poder manipularlas bien. Luego, pélalas y retira la piel. Por otro lado, la carne de la berenjena debes picarla con un cuchillo.', 'Añade la berenjena bien picada en una fuente y, luego, pela los dientes de ajo. También lava el perejil y pícalo bien finito.', 'En la fuente de la berenjena añade los ajos, el perejil picado, las dos cucharadas de zumo de limón para que no se oxide la berenjena y mezcla todo muy bien. A continuación, añade sal, pimienta y perejil, prueba por si tienes que rectificar. Esta ensalada de berenjenas asadas también contiene un buen chorro de aceite de oliva.', 'Deja reposar la ensalada en la nevera un rato o hasta la hora de servir, para que adquiera los sabores. Lo ideal es dejar pasar un par de horas. ¡Ya está lista la ensalada griega de berenjenas! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada Belén;Esta ensalada clásica de la cocina armenia combina berenjena, ajíes, cebolla, pasas y castañas para lograr una guarnición original y sabrosa. Es perfecta para el otoño debido a los ingredientes empleados, pero también por resultar nutritiva y completa.;3;30;Entrante;muy baja;['1 berenjena', '1 cebolla', '½ pimiento morrón rojo', '½ pimiento morrón verde', '3 cucharadas soperas de pasas de uva', '30 gramos de castañas de cajú (anacardos)', '3 cucharadas soperas de aceite de oliva'];"['Para empezar a preparar la ensalada Belén, prepara los vegetales. Para ello, pela y corta la cebolla en cubos. También lava y corta en cubos la berenjena y los pimientos morrones, quitándoles las nervaduras blancas y las semillas.', 'Saltea la cebolla con 1 cucharadita de aceite o rocío vegetal y el fuego fuerte. Cuando empiece a dorarse, agrega los pimientos.', 'Si las verduras empiezan a pegarse, baja el fuego a medio y agrega 1 cucharadita de agua. Cuando se evapore, añade otra cucharadita y repite este proceso tantas veces como quieras. Cuantas más veces lo repitas, más cocida y dulce quedará la verdura.', 'Una vez alcanzado el punto deseado, retira los vegetales y en la misma sartén saltea la berenjena. La idea es sellarla por todos sus lados para que no quede aguachenta. Sin embargo, ten cuidado que no se queme ni la pulpa ni su cáscara, ya que, de lo contrario, le dará un sabor amargo a tu ensalada Belén.', 'Una vez dorada la berenjena, agrega la cebolla y los pimientos. Condiméntalos al gusto y, con el fuego bajo, saltéalos unos minutos más para que tomen sabor; aproximadamente 5 minutos más.', 'Mientras se cocinan las verduras, hidrata las pasas en agua caliente. También puedes tostar las castañas de cajú (anacardos) en una sartén o en el horno a 160 ºC por 10-15 minutos.', 'Sirve tu ensalada Belén con todos los ingredientes que has preparado: el salteado de vegetales, las pasas hidratadas y las castañas tostadas. Condiméntala con el aceite de oliva y disfruta de su delicioso sabor.', 'Si te apetece probar con una presentación diferente, compartimos contigo una idea muy original, la cual consiste en presentar la ensalada Belén sobre una masa de pizza con salsa de tomate. Es una combinación muy rica y, además, saludable. No te pierdas nuestra Receta de masa para pizza y disfruta de un plato delicioso.']"
Receta de Ensalada de patata y aguacate;En esta ocasión, en RecetasGratis queremos compartir una deliciosa receta de ensalada de patata y aguacate, alimentos que en otros países se conocen como papa y palta. Al momento de preparar este plato debo confesar que le di varias vueltas a la idea, puesto que, como cocinera, tiendo a generar cambios en mis recetas, ya sea para que puedan tener mayor aceptación en los niños o solamente para potenciar productos tan nobles como lo son la papa y la palta, vegetales que en mi país, Chile, forman parte de la dieta de muchos compatriotas.;4;90;Entrante;baja;['1 tomate', '2 papas', '2 huevos', '1 palta (aguacate)', '1 limón', '1 pizca de cilantro', '1 pizca de sal', '1 pizca de pimienta'];['Lava las papas y los huevos y cuece ambos ingredientes en una olla con agua y sal. Deja cocinar a fuego medio durante 10 min los huevos y de 30 a 45 minutos las papas.', 'Cuando las papas estén listas, deja que se enfríen, córtalas por la mitad a lo largo y saca parte del interior con ayuda de una cuchara. Así, obtendrás unas canoas de papa. Salpimienta al gusto y resérvalas.', 'Para pelar los aguacates (palta), no te pierdas este vídeo donde te enseñamos diferentes formas de hacerlo:', 'Pica el cilantro bien pequeño, corta el tomate en cubos y aplasta la carne de la palta (aguacate) con ayuda de un tenedor. Mezcla todos estos ingredientes y agrega sal, pimienta y un chorro de jugo de limón al gusto.', 'Toma las canoas de papa y rellénalas con la mezcla anterior. Finaliza tu ensalada de patata y aguacate decorándola con el huevo cocido rallado y tiras de pimentón (pimiento rojo).']
Receta de Ensalada rusa dominicana;La ensalada rusa dominicana puede acompañar a una diversidad de platos, aunque cabe destacar que suele quedar muy bien con aves y carne de res. La rapidez y sencillez con la que se elabora hace que la mayoría de personas la conozcan. Eso sí, dependiendo de la región o país, sus ingredientes suelen variar. No obstante, en general tiene como base la remolacha o betarraga, zanahoria, vainitas o judías, papas y un aderezo de mayonesa. Es muy habitual encontrar esta receta en las mesas acompañando al tradicional pavo en Navidad.;5;45;Acompañamiento;muy baja;['1 lata de maíz dulce (245 g)', '2 zanahorias medianas', '120 gramos de guisantes (arvejas)', '200 gramos de judías o vainitas', '5 papas blancas medianas', '2 betarragas o remolachas', '1 cebolla morada mediana', '2 huevos'];['Para empezar a preparar la ensaladilla rusa dominicana, lava las remolachas con abundante agua, corta la raíz y el tallo y pica la pulpa en cubos medianos. Cocínala en una olla mediana con agua hirviendo y, pasados 15 minutos, retírala con una espumadera. Resérvala.', 'Pela las zanahorias y córtalas en cubos del mismo tamaño que los cuadrados de remolacha. Después, cocínalas en una olla mediana con agua hirviendo durante aproximadamente en 15-20 minutos, cuélalas para retirar el agua y resérvalas para seguir con la preparación de la ensalada rusa dominicana.', 'Lava las judías y retira ambos extremos con un cuchillo. Luego, córtalas en rodajas medianas y cocínalas en agua hirviendo por 7 minutos para que queden al dente. Una vez cocidas, retíralas y colócalas en agua con hielo para cortar la cocción.', 'Cocina las papas en agua hirviendo, pélalas y córtalas en cuadrados medianos. A su vez, cuece también los guisantes en otra olla con agua hirviendo hasta que estén listos, aproximadamente durante 5-10 minutos.', 'Reserva los guisantes en agua con hielo para cortar la cocción. Si quieres, puedes utilizar el mismo bol de las judías.', 'Abre la lata de maíz dulce y escurre el líquido. Aparte, corta la cebolla en cuadrados pequeños y lávalos con abundante agua para evitar el sabor intenso.', 'Para continuar con la preparación de la ensalada rusa dominicana con remolacha, cocina los huevos por 10 minutos. Retira la cáscara y córtalos en pedazos medianos. Reserva.', 'En un bol mediano, mezcla todas las verduras y salpimienta al gusto.', 'Incorpora el aderezo, de manera que añade el zumo de 1 limón, un chorro de vinagre blanco y las cucharadas de mayonesa.', 'Mezcla toda la ensalada y agrega el huevo al final. ¡Listo! Ya puedes disfrutar de esta deliciosa receta de ensaladilla rusa dominicana, toda una explosión de sabores que sin duda te sorprenderá.']
Receta de Ensalada rusa peruana;La ensalada rusa peruana es un acompañamiento para muchos platillos. Como su nombre lo dice, la historia de esta ensalada proviene de Rusia, donde la preparación es distinta. Con el pasar de los años, ingredientes como la carne de venado fueron sustituidos por papas y arvejas.;5;45;;muy baja;['2 beterragas o remolachas medianas', '2 zanahorias medianas', '120 gramos de arverja pelada', '1 limón', '2 patatas medianas de preferencia blancas', '200 gramos de vainitas o judías', '4 cucharadas soperas de mayonesa'];['Lava con abundante agua las betarragas, corta el tallo y raíz.', 'Retira la piel con ayuda de un pelador y corta en cubos medianos. En una olla mediana coloca agua y cocina las beterragas.', 'Con ayuda de un pelador, retira la piel de las zanahorias y córtalas en cuadrados medianos. Cocina la zanahoria en una olla con agua hirviendo. Cuela y reserva.', 'Lava las vainitas y retira ambos extremos con ayuda de un cuchillo.', 'Corta la vainita en rodajas medianas y cocínalas en agua hirviendo. Cuando estén cocidas, retíralas y colócalas en agua con hielo.', 'Cocina las papas en agua con una pizca de sal, pélalas y córtalas en cuadrados medianos.', 'Cocina las arvejas en agua hirviendo hasta que estén blandas.', 'En un bol mediano agrega las verduras cocidas y salpimienta.', 'Incorpora la mayonesa y el zumo de limón. Mueve con una cuchara.', 'Sirve tu ensalada rusa peruana con perejil cortado finamente.']
Receta de Ensalada de pollo y papa;¿Te gustan las ensaladas y consideras que es un plato muy saludable? ¿Quieres cocinar a tu familia una rica ensalada de pollo y papa? Te mostramos una receta sencilla, pero llena de sabor que combina el rico gusto del pollo sazonado y cocinado a la sartén junto con la suave textura de la papa. También te mostramos algunos vegetales extras que añadimos en esta receta para hacer de esta ensalada un platillo especial para disfrutar cualquier día de la semana. De esta ensalada destaca la lechuga y los ingredientes frescos y de buena calidad.;4;30;Merienda;baja;['1 pieza de lechuga', '1 jitomate', '½ unidad de cebolla morada', '400 gramos de pollo en fajitas', '1 cucharadita de mostaza amarilla', 'sal y pimienta al gusto', 'ajo en polvo al gusto', '1 cucharada sopera de crema ácida', '200 gramos de papa en cubos cocida', '80 gramos de garbanzo cocido', '100 gramos de queso panela en cubos', 'cacahuate (opcional)'];['Para comenzar la receta de ensalada de pollo y papa, primero debes preparar el pollo, para ello en un recipiente coloca el pollo, agrega una cucharadita de mostaza amarilla, 1 pizca de sal y pimienta, un poco de ajo en polvo, una cucharada de crema y mezcla muy bien. Deja reposar aproximadamente unos 15 minutos en el refrigerador.', 'Mientras reposa el pollo, prepara las verduras. Trocea la lechuga, corta el jitomate en tiras o en cubos y la cebolla morada en juliana. Reserva.', 'Cuando el pollo haya reposado, calienta un poco de aceite en una sartén y cocina el pollo hasta dorarlo, gíralo de vez en cuando para evitar que se queme. Cuando esté listo, retira del fuego y reserva. El tiempo de cocción del pollo dependerá del tamaño y de las porciones que elijas.', 'Ahora es momento de armar la ensalada fría. Comienza colocando lechuga en la base, enseguida agrega el jitomate y la cebolla morada, mezcla ligeramente.', 'Agrega la papa cocida en cubos y seguido un poco de garbanzos cocidos.', 'Por último, agrega el pollo, el queso panela y si quieres un toque crujiente también puedes añadir un poco de cacahuates. ¡Lista para comer!']
Receta de Ensalada de pollo y lechuga;Para los amantes de las ensaladas esta receta de ensalada de pollo y lechuga es el platillo perfecto para cuando necesites una opción saludable en tu dieta o no dispones de mucho tiempo. Aprende a preparar de una manera sencilla y rápida esta receta de ensalada. Los ingredientes que incorporamos son variados y tienen sabores únicos que combinados con el sabor del pollo, simplemente quedan exquisitos. Lo mejor de esta receta es que siempre puedes hacer diferentes combinaciones, agregar o sustituir vegetales para que cada vez obtengas una ensalada diferente.;4;15;Entrante;baja;['500 gramos de pechuga de pollo', '1 pieza de lehuga troceada', '3 zanahorias', '100 gramos de queso tipo manchego', '10 uvas', '2 cucharadas soperas de semilla de girasol', '½ taza de granos de elote', 'sal y pimienta al gusto', '1 chile de árbol (opional)', 'aderezo al gusto'];['Para empezar la receta saludable de ensalada de pollo con lechuga, primero debes cocinar el pollo en un sartén con un poco de aceite, sazonar con sal y pimienta al gusto y opcionalmente agregar un chile de árbol entero o troceado para añadir un ligero picor al pollo. Señalamos que lo aconsejable es utilizar la pechuga de pollo en fajitas o en trozos pequeños, también puedes cocinar la pechuga en filete y cortar una vez que estén cocinadas.', 'Prepara los ingredientes para la ensalada, en este caso utiliza la zanahoria, quita la piel y corta en bastones delgados, también puedes rallarla o rebanarla.', 'Corta el queso en cubitos pequeños y las uvas por la mitad, puedes usar el tipo de uva que más te guste. Señalamos que si eliges uvas con semillas te aconsejamos retirarlas para que sea más fácil ingerir este alimento.', 'Ahora es el momento de juntar todos los ingredientes. Añade la lechuga troceada y la zanahoria en bastones, puedes combinar diferentes tipos de lechugas.', 'Agrega las uvas, el queso en cubos y los granos de elote, mezcla poco a poco. Luego, agrega el pollo cocinado y 2 cucharadas de semilla de girasol para darle un toque crujiente. No olvides agregar un poco de aderezo de tu preferencia al gusto. ¡Listos y a comer!']
Receta de Ensalada César con pollo;Esta receta, como tantas otras, surgió sin querer y de la necesidad de resolver una urgencia. Dicen que un chef decidió crear esta ensalada ante la falta de provisiones suficientes para servir a sus comensales. Mezcló lechuga, pan seco, huevo, queso parmesano y una salsa familiar, creando esta deliciosa y clásica ensalada.;3;45;Plato principal;baja;['100 gramos de lechuga capuchina', '1 pechuga de pollo', '3 rodajas de pan de molde', '1 cucharada sopera de aceite de oliva', '½ cucharadita de pimentón', '3 cucharadas soperas de jugo de limón', '1 cucharadita de vinagre balsámico', '1 cucharadita de ajo en polvo', '1 cucharadita de romero', '1 cucharadita de aceite neutro', '½ cucharadita de semillas de mostaza', '½ cucharadita de ajo en polvo', '1 cucharadita de queso rallado', '½ cucharadita de salsa inglesa', '1 cucharada sopera de atún al natural', '1 huevo', '3 cucharaditas de jugo de limón'];['Para preparar tu ensalada César con pollo, macera la carne de pollo cortada en tiras con el jugo de limón, el vinagre balsámico, el aceite, el romero y el ajo en polvo', 'Mientras, unta los panes con el aceite de oliva y espolvorea por encima el pimentón. Tuéstalos al horno a 160 ºC durante 10 minutos o hasta que estén dorados, pero no quemados.', 'Por otro lado, lava cada una de las hojas de la lechuga. Sécalas y córtalas groseramente con la mano. Distribúyela en la base del plato donde presentarás la ensalada César con pollo.', 'Cocina el pollo macerado en una sartén antiadherente o plancha, sin aceite, a fuego medio por 10 minutos para que no se seque.', 'Coloca el pollo sobre el colchón de lechuga que has preparado anteriormente.', 'Sobre el pollo, distribuye el pan que has secado con el aceite y el pimentón, preferiblemente cortado en cubos.', 'Por último, prepara el aderezo que acompañará a tu ensalada César con pollo. Para ello, hierve el huevo por 12 minutos, introduciéndolo en la olla con el agua todavía fría. Pélalo y procésalo junto con el resto de los ingredientes hasta obtener una crema. Comprueba el sabor y corrígelo con sal de ser necesario. Si quieres y el sabor es algo amargo, una cucharadita de azúcar, miel o unas gotas de edulcorante ayudan a logar un sabor increíble.', 'Termina tu ensalada con el aderezo, revuelve y siéntate a disfrutar de esta deliciosa ensalada César con pollo baja en calorías. Te animamos a probarla, ¡te encantará! Si quieres, puedes compartir tu foto en los comentarios.']
Receta de Ensalada de arroz con lechuga;El verano nos invita a probar nuevas combinaciones y crear ensaladas originales y ricas, pero sobre todo frescas. En RecetasGratis te enseñamos a preparar esta ensalada de arroz con lechuga y otros ingredientes que le dan un toque agridulce que te encantará. Nuestra propuesta es apta para personas veganas, pero si no lo eres, también podrías agregarle algo de pollo o queso en cubos para convertirla en tu plato principal o utilizarla como acompañamiento para el asado, por ejemplo.;3;30;Acompañamiento;muy baja;['100 gramos de arroz integral crudo', '100 gramos de lechuga', '200 gramos de manzana', '10 gramos de pasas de uva', '1 cucharada sopera de semillas de girasol o nueces'];['Para empezar a preparar esta sencilla, pero deliciosa y saludable ensalada de arroz con lechuga, hidrata las pasas de uva en agua caliente.', 'Mientras se hidratan las pasas, limpia las hojas de la lechuga. Luego, sumérgelas 10 minutos en una solución de 1 gotita de lavandina apta para lavar alimentos en 1 litro de agua. Escúrrelas y utilízalas como base de tu ensalada. Descubre otras formas de desinfectar lechuga en este artículo.', 'Hierve el arroz en abundante agua por 10-15 minutos, de acuerdo a la indicación del paquete. Enfríalo colándolo con agua fría y disponlo sobre las hojas de la lechuga.', 'Limpia con un cepillo de alimentos la manzana y córtala en cubos pequeños, retirando el cabo, el centro y las semillas. Si quieres hacer la ensalada de arroz con lechuga más completa, puedes añadir otras frutas como pera e incluso naranja.', 'Dispón la manzana cortada y las pasas hidratadas sobre el arroz y la lechuga. Espolvorea las semillas de girasol y disfruta de esta fresca ensalada. Puedes condimentarla con aceite y vinagre balsámico, ¡resulta delicioso! Así mismo, resulta deliciosa la ensalada de lechuga con mayonesa y arroz, pero debemos resaltar que esta opción es menos saludable. Descubre cómo hacer mayonesa casera si te gusta esta idea.']
Receta de Ensalada de garbanzos con verduras;Los garbanzos son parte del grupo de las legumbres, estos aportan mucha fibra. Además, son muy saludables porque mejoran el tránsito intestinal, influyen en la absorción de los hidratos de carbono y ayudan a reducir los niveles de colesterol. Los garbanzos son riquísimos y versátiles, puedes utilizarlos enteros, procesados o incluso puedes utilizar su harina. Con todos estos beneficios debes tener en cuenta que es importante introducir los garbanzos en tu dieta.;1;15;Plato principal;muy baja;['100 gramos de garbanzos cocidos', '100 gramos de zanahoria', '100 gramos de cebolla', '10 gramos de hinojo', '30 gramos de arvejas congeladas o frescas', '3 aceitunas'];['¿Te preguntas cómo hacer una ensalada de garbanzos veraniega? Pues bien, el primer paso para preparar esta ensalada saludable es pelar, cortar y sumergir la cebolla en agua hirviendo. De esta manera, su sabor será más suave. Puedes enjuagarla en agua fría y repetir el proceso, cuantas más veces lo repitas, más suave quedará su sabor.', 'Prepara los garbanzos. Señalamos que puedes utilizar los garbanzos enlatados, debes enjugarlos y pelarlos previamente.', 'Lava, pica el hinojo y mézclalo con la cebolla que has suavizado, añade también los garbanzos pelados y la zanahoria.', 'Continúa con las arvejas. Si utilizas congeladas, cocínalas siguiendo las indicaciones del paquete. Mézclalas con la ensalada.', 'Agrega las aceitunas cortadas en rodajitas y disfruta de esta saludable, fresca y nutritiva ensalada de garbanzos con verduras. ¿Qué te ha parecido esta receta de ensalada con garbanzos y verduras? Cuéntanos tu experiencia en los comentarios.']
Receta de Ensalada de garbanzos con espinacas;Las espinacas son ricas en hierro y nitritos. El primer nutriente resulta de gran importancia para quienes llevan una dieta vegetariana y para las mujeres que entrenan con regularidad, sobre todo en ejercicios de impacto. Por otro lado, los nitritos se transforman en nitratos en los intestinos por las bacterias alojadas allí. Este nutriente es vasodilatador, es decir, ensanchan los vasos sanguíneos. Por eso, resulta ideal para aquellos con hipertensión o incluso para prevenir este tipo de complicaciones a futuro. Con todos estos beneficios, no nos queda duda de que incorporar las espinacas a nuestras recetas diarias es excelente para nuestra salud.;1;15;Plato principal;muy baja;['100 gramos de garbanzos cocidos', '1 cebolla chica', '100 gramos de espinaca', '1 cucharada sopera de aceite', '1 cucharada postre de aceto balsámico'];['Comienza la preparación de esta deliciosa y saludable ensalada con la cebolla. Pélala, córtala en pluma y sumérgela en agua hirviendo por 5 minutos. Enjuágala con agua fría y repite el procedimiento. Cuantas más veces lo repitas, más suave será su sabor.', 'Mientras esperas los 5 minutos de la cebolla, puedes preparar los garbanzos. Si utilizas enlatados, asegúrate de enjuagarlos previamente para retirar la sal que contiene el agua donde están conservados. También puedes pelarlos, de esta manera facilitamos su digestión, disminuyendo la hinchazón y molestias.', 'Por último, superpón y enrolla las hojas de espinaca previamente lavadas y corta tiras finitas para tu ensalada.', 'Mezcla todos los ingredientes que has preparado anteriormente (espinaca, garbanzos, cebolla) y condimenta tu ensalada con el aceite y el aceto balsámico. Puedes reemplazarlo por vinagre o jugo de limón, pero es importante agregar un ácido para mejorar la absorción de hierro de este vegetal.']
Receta de Ensalada de garbanzos marroquí;La cocina marroquí se caracteriza por sus platos con vegetales, legumbres, grasas saludables y frutas. En este caso, esta receta combina todos estos ingredientes característicos con el fin de obtener una ensalada saludable, fácil y deliciosa, ideal para los días de calor.;1;15;Plato principal;muy baja;['100 gramos de garbanzos cocidos', '1 cucharada sopera de pasas de uva', '1 cebolla chica', '25 gramos de morrón ají verde', '25 gramos de morrón ají rojo', '1 cucharada postre de jugo de limón o naranja', '3 aceitunas'];['Para empezar a preparar esta sencilla y fácil ensalada de garbanzos, hidrata las pasas de uva en agua caliente.', 'Continúa preparando los garbanzos. Para ello, puedes utilizar los enlatados o secos. Destacamos que en los ingredientes hablamos de 100 gramos de garbanzos cocidos. En el caso de usar enlatados, enjuágalos y pélalos para mejorar la digestión y disminuir la cantidad de sal.', 'Pela y pica la cebolla y además, hierve agua y cubre con ella el vegetal. Déjalo reposar 5 minutos, enjuágalo con agua fría y repite. De esta manera, tendrá un sabor más suave y no te quedará un gusto fuerte en la boca.', 'Completa tu ensalada con todos estos ingredientes: con ajíes picados, con las aceitunas en rodajas, con el jugo de limón o naranja y con todos los ingredientes que has preparado previamente: las pasas de uva, los garbanzos y la cebolla.', 'Sirve esta riquísima y fresca receta de ensalada de garbanzos estilo árabe. Puedes consumirla en tu casa o llevarla en una fiambrera para disfrutarla en tu almuerzo, en el trabajo o en la facultad.']
Receta de Ensalada de mote;"Cuando hablamos de mote o trigo mote, sabemos que existe una infinidad de preparaciones que en su mayoría proceden de la gastronomía mapuche, la cultura donde se elaboran catutos, un tipo de masa junto con una rica bebida de baja graduación alcohólica llamada muday. En Chile también se elabora la típica y única bebida chilena que da origen a aquel dicho campesino ""más viejo chileno que el mote con huesillos"".";2;30;Entrante;baja;['200 gramos de mote', '1 tomate', 'cilantro', '1 cebolla morada', '1 huevo', '6 zanahorias baby', 'pimenton', 'salsa de soya', 'miel', 'mostaza'];['Para preparar esta rica receta de ensalada de mote de trigo, antes debes reunir y lavar todos los ingredientes y utensilios necesarios.', '¿Te preguntas cómo cocinar con mote? Pues bien, lava el mote y en una olla con abundante agua hierve aproximadamente unos 30 minutos o hasta que esté blando. Lava bajo el chorro del agua fría, escurre y reserva.', 'Pica la cebolla morada en plumas, el tomate en gajos, las hojas de cilantro y las zanahorias baby. En un bol junta el mote con las verduras. Recuerda que el tomate debes picarlo sin los gajos.', 'Lleva la miel al microondas aproximadamente unos 30 segundos, retira y mezcla con la salsa de soya. Añade la mostaza y remueve todos los ingredientes.', 'Monta en un plato de ensalada procurando dar altura a la preparación. Decorar con dientes de huevo duro, cebollín y pimentón rojo. ¡Listos y a comer!']
Receta de Ensaladilla malagueña;La ensaladilla malagueña es una ensalada muy fresquita, sencilla y rápida de hacer. Además, es un plato muy completo, ya que lleva patata, fruta y bacalao, un contraste de sabores que queda genial. La fruta da mucho sabor al plato y el bacalao aporta un extra de textura.;4;30;Entrante;baja;['2 patatas', '1 naranja', '2 huevos', '1 cebolleta', '150 gramos de bacalao', '1 puñado de aceitunas negras', '1 chorro de aceite de oliva', '1 chorro de vinagre', '1 pizca de sal', '1 pizca de cebollino ( opcional)'];['Si has comprado el bacalao salado, antes de empezar la receta tendrás que desalarlo. Así, pon el bacalao en remojo y déjalo unas 24 horas cubierto de agua en la nevera. Tendrás que ir cambiando el agua 2-3 veces. Ha de quedar con un punto de sal para que aporte ese toque al plato y la ensalada malagueña quede perfecta. El tiempo necesario para desalar el bacalao puede variar según el grosor del pescado. También se puede comprar desmigado que se desala antes.', 'Pon a cocer las patatas enteras con piel en un cazo, de manera que queden totalmente cubiertas de agua. Cuando estén cocidas, retíralas y deja que se templen para pelarlas mejor.', 'Por otro lado, calienta otro cazo con agua a fuego alto. Cuando empiece a hervir, cuece los huevos a fuego medio. Cuando el agua hierva de nuevo, cuenta 10 minutos de cocción, retíralos, deja que se enfríen y pélalos.', 'Introduce el bacalao desalado en un cazo con un poco de agua caliente y cuécelo unos minutos. Cuando esté, sácalo y reserva.', 'Corta las patatas en trozos pequeños, pica los huevos y mezcla ambos ingredientes en una ensaladera o la fuente que vayas a utilizar para servir la ensaladilla malagueña de bacalao.', 'Pica la cebolleta y añádela por encima de la ensalada.', 'Pela la naranja, quita la parte blanca y córtala en rodajas finas o en trozos. Distribuye la fruta por la ensalada y añade las aceitunas negras. ', 'Una vez cocido el bacalao, quita la piel y las espinas y desmígalo o córtalo en trozos. Añade el pesacado a la ensalada con cuidado de no romperlo en exceso.', 'Ahora que ya tienes todos los ingredientes de la ensaladilla malagueña listos, prepara el aliño. Para ello, mezcla en un bol pequeño el aceite, el vinagre y la sal, bátelo bien para emulsionar el aceite y aliña la ensalada con esta preparación. Pica el cebollino finamente y añádelo a la ensalada, junto con un poco de pimienta. ¡Sírvela bien fría!']
Receta de Empedrat;El empedrat es un plato típico de la cocina catalana, ideal para consumir fresco. Además, es perfecto para comer legumbres de forma menos pesada que en invierno, siendo un plato más ligero al llevar entre sus ingredientes verduras frescas. Su forma más tradicional de servir este plato es con alubias, pero según qué zonas también es usual hacerlo con garbanzos o lentejas.;4;30;Entrante;muy baja;['1 bote de alubias cocidas en conserva (unos 400 g)', '2 huevos', '1 trozo de pimiento verde', '1 trozo de pimiento rojo', '1 cebolleta fresca pequeña', '14 aceitunas negras sin hueso', '3 tiras de bacalao desalado', '5 cucharadas soperas de aceite de oliva', '2 cucharadas de postre de vinagre de Jerez', '2 pizcas de sal'];['Enjuaga bien las alubias de bote con agua y déjalas escurrir hasta que no goteen.', 'Pon los huevos a cocer con agua durante 10 minutos.', 'Lava los pimientos y corta un trozo, no lo uses todo, puedes utilizar pimiento al gusto dependiendo de tus preferencias. Trocea los pimientos, también debes hacer lo mismo con la cebolla tierna. Seguidamente, lamina las aceitunas. Finalmente, pela los huevos y trocea igualmente.', 'En un pequeño bol pon las cucharadas de aceite de oliva comentadas anteriormente junto con el vinagre y dos pizcas de sal. Bate con un tenedor para que quede bien mezclado. Puedes añadir más o menos vinagre, según tus gustos.', 'En un bol pon las alubias junto con las verduras picadas y las aceitunas. Trocea con las manos las tiras de bacalao desalado. Riégalo todo con el aliño de aceite, vinagre y sal y mézclalo bien. Reserva para que los ingredientes vayan cogiendo sabor.', 'Sirve preferiblemente de un día para otro, tendrá mucho más sabor y además, el empedrat es un plato que se conserva muy bien en la nevera hasta cuatro días.']
Receta de Ensalada de col andaluza;En RecetasGratis te traemos una receta de ensalada de col andaluza, muy sencilla de hacer y económica. Aunque es una ensalada que se conoce por toda Andalucía, es más popular en Granada, donde podemos encontrarla en muchos bares acompañada de tapas de pescadito frito, calamares y más. ;4;30;;muy baja;['1 col', '3 dientes de ajos', '1 cucharada sopera de pimentón dulce', '1 cucharada sopera de vinagre', '1 chorro de aceite de oliva', '1 pizca de sal'];['Quita las hojas exteriores más verdes de la col. Córtala por la mitad y quita el tronco central.', 'Corta la col en cuartos cada trozo, luego córtala en juliana, ponla en un colador y lávala bien bajo el grifo con agua fría. Déjala escurriendo bien. Cuando esté escurrida, ponla en una fuente o en un bol donde vayas a servirla.', 'Pela y corta los ajos en rodajas muy finos.', 'Coge una sartén, cubre toda la base de aceite de oliva, ponla a fuego suave a calentar con los ajos laminados. El fuego estará suave para que el aceite coja el sabor de los ajos.', 'Deja cocinar los ajos hasta que empiecen a coger color, entonces añade la cuchara de pimentón dulce, remueve enseguida para que el pimentón no se queme.', 'Una vez tengas el pimentón disuelto con el aceite, añade el vinagre al gusto. Si te gusta que sepa al vinagre, puedes poner 3 cucharadas de vinagre, si te gusta el sabor suave, con 2 cucharadas estará bien.', 'Echa todo el aliño encima de la col que estará en una fuente. Mezcla muy bien para que la col se impregne de todo el aliño y así coja todo el sabor. Ponemos un poco de sal y mezcla.']
